table_abbrev,spec,sample,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-16.96","","16.81","252","0.46","table5_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-20.78","","53.35","37","0.91","table5_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","Evasion / Number of Agents","5","0.24","**","0.11","377","0.80","table5_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","1.04","*","0.51","88","0.85","table5_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.33","*","0.17","228","0.78","table5_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","0.19","",".","31","0.99","table5_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","Number of Agents","1","-0.12","","0.08","407","0.56","table5_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","8.19","","21.86","85","0.59","table5_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-18.03","","17.09","243","0.44","table5_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-5.66","","29.87","51","0.89","table5_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.14","","0.13","359","0.79","table5_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","-1.14","",".","53","0.98","table5_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","0.06","","0.20","215","0.78","table5_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","-0.00","",".","40","0.94","table5_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","Number of Agents","1","-0.19","***","0.06","508","0.52","table5_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","Duration in Days (Taxpayer Survey)","2","-8.18","**","3.78","214","0.25","table5_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","Days from Start to Conf. (Admin Data)","3","-28.65","**","14.01","282","0.30","table5_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","Days Working on Case (Self-Reported)","4","-11.43","","25.35","51","0.51","table5_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","Evasion / Number of Agents","5","0.12","","0.10","457","0.78","table5_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","Evasion / Duration (Taxpayer Survey)","6","0.86","***","0.24","98","0.74","table5_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","Evasion / Duration (Admin Data)","7","0.16","","0.17","253","0.71","table5_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","Evasion / Days Working (Self-Reported)","8","-0.22","","0.27","40","0.70","table5_fullaudits_yhatrf_control.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","Number of Agents","1","-0.26","***","0.07","413","0.48","table5_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-7.07","*","3.77","167","0.21","table5_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-27.48","*","14.68","252","0.30","table5_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-12.34","","33.22","37","0.35","table5_fullaudits_yhatrf_control_ltu_medium.tex"
